2024-10-21 21:27:52.243 | INFO     | __main__:request_category:58 - 200 | pityevaya-voda-kulery
2024-10-21 21:27:52.257 | INFO     | __main__:parse_products:93 - Вода Baikal Pearl питьевая негазированная, 750мл | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.257 | INFO     | __main__:parse_products:93 - Вода Сенежская Sport питьевая негазированная, 750мл | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.258 | INFO     | __main__:parse_products:93 - Вода Rare минеральная кремнистая газированная, 800мл | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.258 | INFO     | __main__:parse_products:93 - Вода детская Fleur Alpine питьевая негазированная, 250мл | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.258 | INFO     | __main__:parse_products:93 - Вода Ессентуки №4 минеральная лечебно-столовая газированная, 500мл x 12 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.258 | INFO     | __main__:parse_products:93 - Вода Sairme родниковая негазированная, 500мл x 12 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.258 | INFO     | __main__:parse_products:93 - Вода Нарзан минеральная лечебно-столовая газированная, 500мл x 12 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.259 | INFO     | __main__:parse_products:93 - Вода Новотерская минеральная целебная питьевая газированная, 500мл x 6 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.259 | INFO     | __main__:parse_products:93 - Вода Rare минеральная кремнистая газированная, 330мл x 12 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.259 | INFO     | __main__:parse_products:93 - Вода Сенежская Малина питьевая негазированная, 440мл х 12 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.259 | INFO     | __main__:parse_products:93 - Вода Voss минеральная негазированная, 375мл x 24 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.259 | INFO     | __main__:parse_products:93 - Вода Новотерская питьевая негазированная, 5л x 3 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.259 | INFO     | __main__:parse_products:93 - Вода Сенежская минеральная питьевая негазированная, 750мл x 12 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.260 | INFO     | __main__:parse_products:93 - Вода детская ФрутоНяня питьевая негазированная, 1.5л | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.260 | INFO     | __main__:parse_products:93 - Вода Новотерская минеральная целебная питьевая газированная, 500мл x 12 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.261 | INFO     | __main__:parse_products:93 - Вода Aqua Minerale Active цитрус негазированная, 1л x 12 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.261 | INFO     | __main__:parse_products:93 - Вода Jermuk минеральная лечебно-столовая газированная, 1л | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.261 | INFO     | __main__:parse_products:93 - Вода детская Fleur Alpine с рождения питьевая негазированная, 1л | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.261 | INFO     | __main__:parse_products:93 - Вода Ессентуки №17 минеральная лечебно-столовая газированная, 1л x 6 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.261 | INFO     | __main__:parse_products:93 - Вода детская Fleur Alpine с рождения питьевая негазированная, 1л x 6 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.261 | INFO     | __main__:parse_products:93 - Вода Baikal Reserve минеральная природная лечебно-столовая газированная, 250мл x 24 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.262 | INFO     | __main__:parse_products:93 - Вода Сенежская минеральная питьевая газированная, 750мл x 12 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.262 | INFO     | __main__:parse_products:93 - Вода Сенежская Лимон-мята питьевая негазированная, 440мл х 12 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.262 | INFO     | __main__:parse_products:93 - Вода Ессентуки №4 минеральная лечебно-столовая газированная, 1.5л | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.262 | INFO     | __main__:parse_products:93 - Вода Новотерская минеральная целебная питьевая газированная, 1.5л | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.262 | INFO     | __main__:parse_products:93 - Вода Святой Источник питьевая негазированная клубника, 1.5л x 6 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.262 | INFO     | __main__:parse_products:93 - Вода Новотерская минеральная целебная питьевая газированная, 500мл | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.263 | INFO     | __main__:parse_products:93 - Вода Jermuk минеральная лечебно-столовая газированная, 1л x 6 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.263 | INFO     | __main__:parse_products:93 - Вода Baikal Pearl питьевая негазированная, 750мл x 15 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.263 | INFO     | __main__:parse_products:93 - Напиток Perrier Лимон газированный, 330мл x 24 шт | Количество: 0 | Отсутствует в продаже
2024-10-21 21:27:52.263 | INFO     | __main__:parse_products:93 - Вода Legend of Baikal питьевая газированная, 330мл x 12 шт | Количество: 0 | Отсутствует в продаже
